store_id,clinic_name,store_name,Zipcode,adress,access
tcb_037,TCB,松戸院,〒271-0092,千葉県松戸市松戸1307-1 キテミテマツド 8F,JR松戸駅から徒歩3分
tcb_038,TCB,高崎院,〒370-0849,群馬県高崎市八島町46-1 高崎オーパ 8F,JR高崎駅から徒歩2分
tcb_039,TCB,前橋院,〒371-0024,群馬県前橋市表町2-30-8 アクエル前橋 B1F,JR前橋駅から徒歩1分
tcb_040,TCB,札幌駅前院,〒060-0004,北海道札幌市中央区北4条西2-1-2 キタコートレードビル 6F,"東豊線さっぽろ駅から 徒歩1分, JR札幌駅から徒歩5分"
tcb_041,TCB,札幌大通院,〒060-0061,北海道札幌市中央区南1条西2-18 IKEUCHI GATE 5F,"札幌市営地下鉄 大通駅から徒歩1分, 東豊線 豊水すすきの駅から徒歩6分"
tcb_042,TCB,旭川駅前院,〒070-0031,北海道旭川市一条通8-108 フィール旭川 4F,JR旭川駅から徒歩5分
tcb_043,TCB,仙台駅前院,〒980-0021,宮城県仙台市青葉区中央3-6-1 仙台TRビル東館 7F,JR仙台駅西口ペデストリアンデッキ直結 徒歩3分
tcb_044,TCB,福島院,〒960-8034,福島県福島市置賜町1-29 佐平ビル 1F,JR福島駅 東口から徒歩2分
tcb_045,TCB,郡山院,〒963-8002,福島県郡山市駅前2-3-7 エリート30ビル 7F・8F,JR郡山駅から徒歩2分
tcb_046,TCB,青森院,〒030-0801,青森県青森市新町1-7-1 THREE 4F,JR青森駅から徒歩5分
tcb_047,TCB,盛岡院,〒020-8655,岩手県盛岡市菜園1-10-1 パルクアベニューカワトク 8F,JR盛岡駅から徒歩13分
tcb_048,TCB,山形院,〒990-0039,山形県山形市香澄町1-15-28 ホテルニュー最上屋 2F,JR山形駅から徒歩2分
tcb_049,TCB,秋田院,〒010-0001,秋田県秋田市中通4-12-7 川上第二ビル 3F,JR秋田駅から徒歩5分
tcb_050,TCB,名古屋駅前院,〒450-0002,愛知県名古屋市中村区名駅3-26-6 Third KHビル 5F,"JR名古屋駅から徒歩1分, 名古屋市営地下鉄東山線 名古屋駅から徒歩1分 または 桜通線 国際センター駅から徒歩約4分"
tcb_051,TCB,名古屋栄院,〒460-0008,愛知県名古屋市中区栄3-28-11 名古屋ゼロゲート 2F,"地下鉄名城線矢場町駅から徒歩4分, JR 名古屋駅から徒歩38分"
