parameter_no,tcb_stores,luna_stores,rize_stores,shinagawa_stores,seishin_stores,#VALUE!
62,tcb_006/tcb_007,luna_001,rize_007,shinagawa_010/shinagawa_011,seishin_003,-
63,-,-,-,-,-,-
64,tcb_008/tcb_013,-,-,shinagawa_012/shinagawa_013,-,-
65,-,-,-,shinagawa_005/shinagawa_006,-,-
66,-,-,-,shinagawa_007,-,-
67,tcb_006/tcb_007,luna_001,rize_007,shinagawa_010/shinagawa_011,seishin_003,-
68,-,-,-,-,seishin_002,-
69,tcb_008/tcb_013,-,-,shinagawa_012/shinagawa_013,-,-
70,-,-,-,-,-,-
71,-,-,-,-,-,-
72,-,-,-,-,-,-
73,-,-,-,-,-,-
74,-,-,-,-,-,-
75,tcb_068/tcb_072,-,rize_016,shinagawa_030,-,-
76,tcb_075,-,-,-,-,-
77,tcb_068/tcb_069/tcb_072,-,rize_016,shinagawa_030,-,-
78,tcb_068/tcb_072,-,rize_016,shinagawa_030,-,-
79,tcb_067/tcb_070/tcb_071,-,rize_015,shinagawa_028/shinagawa_029,seishin_008,-
80,-,-,-,-,-,-
81,tcb_050/tcb_051,-,rize_012/rize_013,shinagawa_025/shinagawa_026,-,-
82,tcb_053,-,-,-,-,-
83,tcb_054,-,-,-,-,-
84,tcb_050/tcb_051/tcb_052,-,rize_012/rize_013,shinagawa_025/shinagawa_026,seishin_007,-
85,tcb_097,-,-,-,-,-
86,tcb_094/tcb_096/tcb_098,-,rize_019,shinagawa_035/shinagawa_036,seishin_010,-
87,tcb_094/tcb_096/tcb_098,-,rize_019,shinagawa_035/shinagawa_036,seishin_010,-
88,tcb_095,-,-,-,-,-
89,tcb_042,-,-,-,-,-
90,tcb_040/tcb_041,-,rize_001,shinagawa_022,seishin_001,-
91,-,-,-,-,-,-
92,tcb_079,-,rize_017,shinagawa_032,-,-
93,tcb_079,-,rize_017,shinagawa_032,-,-
94,-,-,-,-,-,-
95,tcb_080,-,-,-,-,-
96,tcb_024,-,-,-,-,-
97,tcb_022,-,-,-,-,-
98,tcb_023,-,-,-,-,-
99,tcb_010/tcb_018/tcb_022,-,rize_006,shinagawa_005/shinagawa_006,-,-
100,tcb_018/tcb_022,-,-,-,-,-
101,tcb_019/tcb_020,-,rize_010,shinagawa_016/shinagawa_017,seishin_005,-
102,tcb_023,-,-,-,-,-
103,tcb_035/tcb_037,-,rize_004,-,-,-
104,tcb_036,-,-,-,-,-
105,tcb_037,-,-,-,-,-
106,tcb_025/tcb_026,-,rize_003,shinagawa_018/shinagawa_019,seishin_004,-
107,tcb_025/tcb_026,-,rize_003,shinagawa_018/shinagawa_019,seishin_004,-
108,tcb_027,-,-,-,-,-
109,tcb_017/tcb_027/tcb_029/tcb_037,-,-,-,-,-
110,tcb_038/tcb_039,-,-,-,-,-
111,tcb_077/tcb_078,-,rize_014,shinagawa_031,-,-
112,tcb_091,-,-,-,-,-
113,-,-,-,-,-,-
114,tcb_061,-,-,-,-,-
115,tcb_032,-,-,-,-,-
116,tcb_031,-,-,-,-,-
117,tcb_047,-,-,-,-,-
118,-,-,-,-,-,-
119,tcb_085,-,-,-,-,-
120,tcb_090,-,-,-,-,-
121,-,-,-,-,-,-
122,tcb_058,-,-,-,-,-
123,tcb_057,-,-,-,-,-
124,tcb_058,-,-,-,-,-
125,tcb_088,-,-,-,-,-
126,tcb_030,-,-,shinagawa_020,-,-
127,-,-,-,-,-,-
128,-,-,-,-,-,-
129,tcb_060,-,-,-,-,-
130,-,-,-,-,-,-
131,-,-,-,-,-,-
132,tcb_045,-,-,-,-,-
133,tcb_063,-,-,-,-,-
134,-,-,-,-,-,-
135,tcb_063,-,-,-,-,-
136,tcb_043,-,rize_002,shinagawa_023,-,-
137,-,-,-,-,-,-
138,-,-,-,-,-,-
139,-,-,-,-,-,-
140,-,-,-,-,-,-
141,-,-,-,-,-,-
142,-,-,-,-,-,-
143,-,-,-,-,-,-
144,-,-,-,-,-,-
145,-,-,-,-,-,-
146,-,-,-,-,-,-
147,-,-,-,-,-,-
148,-,-,-,-,-,-
149,-,-,-,-,-,-
150,-,-,-,-,-,-
151,-,-,-,-,-,-
152,-,-,-,-,-,-
153,-,-,-,-,-,-
154,-,-,-,-,-,-
155,-,-,-,-,-,-
156,-,-,-,-,-,-
157,-,-,-,-,-,-
158,-,-,-,-,-,-
159,-,-,-,-,-,-
160,-,-,-,-,-,-
161,-,-,-,-,-,-
162,-,-,-,-,-,-
163,-,-,-,-,-,-
164,-,-,-,-,-,-
165,-,-,-,-,-,-
166,-,-,-,-,-,-
167,-,-,-,-,-,-
168,-,-,-,-,-,-
169,-,-,-,-,-,-
170,-,-,-,-,-,-
171,-,-,-,-,-,-
172,-,-,-,-,-,-
173,-,-,-,-,-,-
174,-,-,-,-,-,-
175,-,-,-,-,-,-
176,-,-,-,-,-,-
177,-,-,-,-,-,-
178,-,-,-,-,-,-
179,-,-,-,-,-,-
180,-,-,-,-,-,-
181,-,-,-,-,-,-
182,-,-,-,-,-,-
183,-,-,-,-,-,-
184,-,-,-,-,-,-
185,-,-,-,-,-,-
186,-,-,-,-,-,-
187,-,-,-,-,-,-
188,-,-,-,-,-,-
189,-,-,-,-,-,-
190,-,-,-,-,-,-
191,-,-,-,-,-,-
192,-,-,-,-,-,-
193,-,-,-,-,-,-
194,-,-,-,-,-,-
195,-,-,-,-,-,-
196,-,-,-,-,-,-
197,-,-,-,-,-,-
198,-,-,-,-,-,-
199,-,-,-,-,-,-
200,-,-,-,-,-,-
201,-,-,-,-,-,-
202,-,-,-,-,-,-
203,-,-,-,-,-,-
204,-,-,-,-,-,-
205,-,-,-,-,-,-
206,-,-,-,-,-,-
207,-,-,-,-,-,-
208,-,-,-,-,-,-
209,-,-,-,-,-,-
210,-,-,-,-,-,-
211,-,-,-,-,-,-
212,-,-,-,-,-,-
213,-,-,-,-,-,-
214,-,-,-,-,-,-
215,-,-,-,-,-,-
216,-,-,-,-,-,-
217,-,-,-,-,-,-
218,-,-,-,-,-,-
219,-,-,-,-,-,-
220,-,-,-,-,-,-
221,-,-,-,-,-,-
222,-,-,-,-,-,-
223,-,-,-,-,-,-
224,-,-,-,-,-,-
225,-,-,-,-,-,-
226,-,-,-,-,-,-
227,-,-,-,-,-,-
228,-,-,-,-,-,-
229,-,-,-,-,-,-
230,-,-,-,-,-,-
231,-,-,-,-,-,-
232,-,-,-,-,-,-
233,-,-,-,-,-,-
234,-,-,-,-,-,-
235,-,-,-,-,-,-
236,-,-,-,-,-,-
237,-,-,-,-,-,-
238,-,-,-,-,-,-
239,-,-,-,-,-,-
240,-,-,-,-,-,-
241,-,-,-,-,-,-
242,-,-,-,-,-,-
243,-,-,-,-,-,-
244,-,-,-,-,-,-
245,-,-,-,-,-,-
246,-,-,-,-,-,-
247,-,-,-,-,-,-
248,-,-,-,-,-,-
249,-,-,-,-,-,-
250,-,-,-,-,-,-
251,-,-,-,-,-,-
252,-,-,-,-,-,-
253,-,-,-,-,-,-
254,-,-,-,-,-,-
255,-,-,-,-,-,-
256,-,-,-,-,-,-
257,-,-,-,-,-,-
258,-,-,-,-,-,-
259,-,-,-,-,-,-
260,-,-,-,-,-,-
261,-,-,-,-,-,-
262,-,-,-,-,-,-
263,-,-,-,-,-,-
264,-,-,-,-,-,-
265,-,-,-,-,-,-
266,-,-,-,-,-,-
267,-,-,-,-,-,-
268,-,-,-,-,-,-
269,-,-,-,-,-,-
270,-,-,-,-,-,-
271,-,-,-,-,-,-
272,-,-,-,-,-,-
273,-,-,-,-,-,-
274,-,-,-,-,-,-
275,-,-,-,-,-,-
276,-,-,-,-,-,-
277,-,-,-,-,-,-
278,-,-,-,-,-,-
279,-,-,-,-,-,-
280,-,-,-,-,-,-
281,-,-,-,-,-,-
282,-,-,-,-,-,-
283,-,-,-,-,-,-
284,-,-,-,-,-,-
285,-,-,-,-,-,-
286,-,-,-,-,-,-
287,-,-,-,-,-,-
288,-,-,-,-,-,-
289,-,-,-,-,-,-
290,-,-,-,-,-,-
291,-,-,-,-,-,-
292,-,-,-,-,-,-
293,-,-,-,-,-,-
294,-,-,-,-,-,-
295,-,-,-,-,-,-
296,-,-,-,-,-,-
297,-,-,-,-,-,-
298,-,-,-,-,-,-
299,-,-,-,-,-,-
300,-,-,-,-,-,-
